Number,Title,URL,Date
1,Kennesaw State names Karin Scarpinato as vice president for research,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-names-karin-scarpinato-as-vice-president-for-research.php,"May 11, 2023"
2,"Kennesaw State alumna addresses new graduates, endows scholarship",https://www.kennesaw.edu/news/stories/2023/kennesaw-state-alumna-addresses-new-graduates-endows-scholarship.php,"May 10, 2023"
3,Kennesaw State graduate bound for Ecuador with Peace Corps,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-graduate-bound-for-ecuador-with-peace-corps.php,"May 10, 2023"
4,Kennesaw State sales competition lands Coles graduate a career opportunity,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-sales-competition-lands-coles-graduate-a-career-opportunity.php,"May 09, 2023"
5,Graduate benefits from prosthetics program at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/graduate-benefits-from-prosthetics-program-at-kennesaw-state.php,"May 08, 2023"
6,Kennesaw State celebrates appointment of Monica Swahn as Dr. Betty L. Siegel Distinguished Chair in Health and Wellness,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-celebrates-appointment-of-monica-swahn-as-dr-betty-l-siegel-distinguished-chair-in-health-and-wellness.php,"May 05, 2023"
7,Kennesaw State names new dean for College of Architecture and Construction Management,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-names-new-dean-for-college-of-architecture-and-construction-management.php,"May 05, 2023"
8,Outstanding Kennesaw State staff honored at annual awards luncheon,https://www.kennesaw.edu/news/stories/2023/outstanding-kennesaw-state-staff-honored-at-annual-awards-luncheon.php,"May 04, 2023"
9,Father and son engineers will graduate Kennesaw State alongside each other,https://www.kennesaw.edu/news/stories/2023/father-and-son-engineers-will-graduate-kennesaw-state-alongside-each-other.php,"May 03, 2023"
10,Kennesaw State celebrates investiture of Susan Dyess to nursing program endowed chair,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-celebrates-investiture-of-susan-dyess-to-nursing-program-endowed-chair.php,"May 01, 2023"
