Number,Title,URL,Date
1,New graduate found service through theater at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/new-graduate-found-service-through-theater.php,"December 11, 2023"
2,Kennesaw State programs help alumnus grow app that rewards students ,https://www.kennesaw.edu/news/stories/2023/ksu-programs-help-alumnus-grow-app-rewards-students.php,"December 06, 2023"
3,Kennesaw State awarded grant from the Governor's Office of Highway Safety for 17th straight year,https://www.kennesaw.edu/news/stories/2023/ksu-awarded-highway-safety-grant-for-17th-year.php,"December 01, 2023"
4,"New GPB chief, Kennesaw State alum shares passion and vision for service",https://www.kennesaw.edu/news/stories/2023/gpb-chief-ksu-alum-shares-passion-for-service.php,"November 30, 2023"
5,Kennesaw State receives $2 million grant to boost doctoral education,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-receives-research-training-grant.php,"November 28, 2023"
6,Rocket scientist counting down to final launch of her career,https://www.kennesaw.edu/news/stories/2023/rocket-scientist-counting-down-to-final-launch-of-career.php,"November 21, 2023"
7,"Kennesaw State's Coles College inducts Tommy Bagwell, Lori Kaczynski into Hall of Fame",https://www.kennesaw.edu/news/stories/2023/ksu-supporters-inducted-into-coles-college-hall-of-fame.php,"November 17, 2023"
8,Kennesaw State senior bridges safety gap for law enforcement with tech startup,https://www.kennesaw.edu/news/stories/2023/ksu-student-bridges-safety-gap-for-law-enforcement-with-startup.php,"November 15, 2023"
9,Kennesaw State professor receives grant to study enzymes linked to cardiovascular disease and cancer,https://www.kennesaw.edu/news/stories/2023/professor-studies-enzymes-linked-to-cardiovascular-disease.php,"November 13, 2023"
10,"Empty Bowls event combines Kennesaw State art, music and support for students",https://www.kennesaw.edu/news/stories/2023/empty-bowls-event-combines-kennesaw-state-art-music-and-support-for-students.php,"November 10, 2023"
