Number,Title,URL,Date
1,Family has established a culture of giving to support Kennesaw State,https://www.kennesaw.edu/news/stories/2023/family-establishes-culture-of-giving-to-support-ksu.php,"October 04, 2023"
2,"Donors, scholarships help students in recovery see a brighter future",https://www.kennesaw.edu/news/stories/2023/scholarships-help-students-in-recovery.php,"October 02, 2023"
3,Partnership aimed at addressing structural issues affecting health disparities in Puerto Rico through $6 million NIH award,https://www.kennesaw.edu/news/stories/2023/professor-grant-health-disparities-puerto-rico.php,"September 28, 2023"
4,Kennesaw State professor earns USG Hall of Fame teaching award,https://www.kennesaw.edu/news/stories/2023/professor-earns-usg-hall-of-fame-teaching-award.php,"September 26, 2023"
5,Professors represent Kennesaw State at Governor's Teaching Fellows seminar,https://www.kennesaw.edu/news/stories/2023/professors-represent-ksu-governor-teaching-fellows.php,"September 25, 2023"
6,Kennesaw State celebrating 10 years of football and looking to the future,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-celebrating-10-years-of-football.php,"September 22, 2023"
7,"After tragedy, a Kennesaw State mom turns pain into purpose ",https://www.kennesaw.edu/news/stories/2023/after-tragedy-mom-turns-pain-into-purpose.php,"September 21, 2023"
8,"Kennesaw State study uses AI, common clothing tags to diagnose health issues",https://www.kennesaw.edu/news/stories/2023/study-uses-clothing-tags-to-diagnose-health-issues.php,"September 20, 2023"
9,Kennesaw State student presents undergraduate research at international conference,https://www.kennesaw.edu/news/stories/2023/student-presents-research-international-conference.php,"September 15, 2023"
10,KSU 'You Matter' program uses trends and friends to fight mental health crises,https://www.kennesaw.edu/news/stories/2023/you-matter-program-uses-trends-to-fight-mental-health-crises.php,"September 13, 2023"
