Number,Title,URL,Date
1,NCAA leader headlines Ethics Awareness Week observances at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/ncaa-leader-headlines-ethics-awareness-week-at-ksu.php,"November 09, 2023"
2,Kennesaw State research aims to preserve language and culture in trilingual homes,https://www.kennesaw.edu/news/stories/2023/research-preserve-language-and-culture-trilingual-homes.php,"November 03, 2023"
3,Kennesaw State student encourages peers through campus engagement,https://www.kennesaw.edu/news/stories/2023/student-encourages-peers-through-campus-engagement.php,"November 01, 2023"
4,Kennesaw State researcher explores new way to use AI for student teachers,https://www.kennesaw.edu/news/stories/2023/researcher-explores-use-ai-student-teachers.php,"October 30, 2023"
5,Kennesaw State playing role in making super-fast quantum computing a reality,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-playing-role-in-quantum-computing.php,"October 23, 2023"
6,Kennesaw State scholarship celebrates professor and late husband's love of travel,https://www.kennesaw.edu/news/stories/2023/ksu-scholarship-celebrates-love-of-travel.php,"October 19, 2023"
7,Kennesaw State faculty create revolutionary urban design toolkit for public spaces,https://www.kennesaw.edu/news/stories/2023/faculty-create-urban-design-toolkit-for-public-spaces.php,"October 16, 2023"
8,Kennesaw State professor helps company test a better prosthetic foot,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-professor-helps-company-test-a-better-prosthetic-foot.php,"October 13, 2023"
9,Kennesaw State grad creates alumni group for young professionals,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-grad-creates-young-professional-alumni-group.php,"October 11, 2023"
10,Kennesaw State launches public phase of $200 million fundraising campaign,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-launches-public-phase-of-fundraising-campaign.php,"October 06, 2023"
