Number,Title,URL,Date
1,Dad's cancer diagnosis inspired Kennesaw State student's award-winning research,https://www.kennesaw.edu/news/stories/2024/ksu-student-inspired-for-award-winning-research.php,"January 30, 2024"
2,Ph.D. graduates join the ranks of peacebuilders,https://radow.kennesaw.edu/about/news/posts/2024-01-18-phd-graduates-conflict-resolution.php,"January 23, 2024"
3,"Kennesaw State honors legacy of MLK with week of service, remembrance",https://www.kennesaw.edu/news/stories/2024/ksu-honors-legacy-of-mlk-with-week-of-service-remembrance.php,"January 19, 2024"
4,Kennesaw State receives grant to help children with sickle cell disease,https://www.kennesaw.edu/news/stories/2023/ksu-receives-grant-to-help-children-with-sickle-cell-disease.php,"January 17, 2024"
5,Eighteen-year-old KSU graduate preparing for graduate school,https://www.kennesaw.edu/news/stories/2024/eighteen-year-old-graduate-preparing-for-graduate-school.php,"January 11, 2024"
6,Sophomore biochemistry major excels at Kennesaw State,https://www.kennesaw.edu/news/stories/2024/sophomore-biochemistry-major-excels-at-ksu.php,"January 09, 2024"
7,Kennesaw State receives $2.5 million grant to foster student success in calculus ,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-receives-grant-to-foster-success-in-calculus.php,"January 02, 2024"
8,Kennesaw State engineering graduate has literally come a long way,https://www.kennesaw.edu/news/stories/2023/engineering-graduate-has-come-a-long-way.php,"December 14, 2023"
9,Kennesaw State management graduate aims to climb to the top of their sport,https://experience.kennesaw.edu/overcoming-obstacles?source=share-ksu,"December 13, 2023"
10,Kennesaw State graduate encourages women to join the construction industry,https://www.kennesaw.edu/news/stories/2023/graduate-encourages-women-for-construction-industry.php,"December 12, 2023"
