Number,Title,URL,Date
1,Kennesaw State graduate's national security and data analysis interests lead to defense job,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-graduates-national-security-and-data-analysis-interests-lead-to-defense-job.php,"July 12, 2023"
2,Kennesaw State and Cobb County partnership pioneers new mental health 911 response ,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-and-cobb-county-partnership-pioneers-new-mental-health-911-response.php,"July 10, 2023"
3,The Home Depot donations boost Kennesaw State's inclusive academy,https://www.kennesaw.edu/news/stories/2023/the-home-depot-donations-boost-kennesaw-states-inclusive-academy.php,"July 07, 2023"
4,KSU-Georgia Aquarium partnership takes teachers from rivers to reefs,https://www.kennesaw.edu/news/stories/2023/ksu-georgia-aquarium-partnership-takes-teachers-from-rivers-to-reefs.php,"June 30, 2023"
5,Kennesaw State alum takes love of analytics to the big leagues,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-alum-takes-love-of-analytics-to-the-big-leagues.php,"June 28, 2023"
6,Researcher discovering better approaches to help the grieving,https://www.kennesaw.edu/news/stories/2023/researcher-discovering-better-approaches-to-help-the-grieving.php,"June 26, 2023"
7,Kennesaw State student finds direction in chemistry with Double-Owl program,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-student-finds-direction-in-chemistry-with-double-owl-program.php,"June 23, 2023"
8,Back in the Nest: Former student-athletes return to KSU as coaches,https://www.kennesaw.edu/news/stories/2023/back-in-the-nest-former-student-athletes-return-to-ksu-as-coaches.php,"June 21, 2023"
9,Kennesaw State faculty member earns prestigious cybersecurity fellowship,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-associate-professor-named-a-202-trusted-ci-fellow.php,"June 14, 2023"
10,Researcher uses virtual reality to help autism spectrum students cope,https://www.kennesaw.edu/news/stories/2023/researcher-uses-virtual-reality-to-help-autism-spectrum-students-cope.php,"June 12, 2023"
