Number,Title,URL,Date
1,Kennesaw State faculty study shows potential effects of presidents' use of Twitter,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-faculty-study-shows-potential-effects-of-presidents-use-of-twitter.php,"June 09, 2023"
2,Seasoned leader takes charge of Military and Veterans Services at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/seasoned-leader-takes-charge-of-military-and-veterans-services-at-kennesaw-state.php,"June 07, 2023"
3,Kennesaw State targets in-school mental health gaps using $4.4 million federal grant,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-targets-in-school-mental-health-gaps-using-4-and-a-half-million-dollar-federal-grant.php,"June 05, 2023"
4,Kennesaw State graduate programs meeting rising demands,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-graduate-programs-meeting-rising-demands.php,"June 02, 2023"
5,"Kennesaw State sibling students show diligence, care in school and life",https://www.kennesaw.edu/news/stories/2023/kennesaw-state-sibling-students-show-diligence-care-in-school-and-life.php,"May 31, 2023"
6,Accident spurs Kennesaw State student to research,https://www.kennesaw.edu/news/stories/2023/accident-spurs-kennesaw-state-student-to-research.php,"May 26, 2023"
7,A comprehensive look at staging a major theater production at Kennesaw State,https://experience.kennesaw.edu/rent-cota-2023,"May 25, 2023"
8,NIH funding boosts diversity in Kennesaw State exercise science laboratory,https://www.kennesaw.edu/news/stories/2023/nih-funding-boosts-diversity-in-kennesaw-state-exercise-science-laboratory.php,"May 22, 2023"
9,Kennesaw State master's graduate makes satisfying career change,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-masters-graduate-makes-satisfying-career-change.php,"May 19, 2023"
10,Kennesaw State summer program aimed at increasing minority educators,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-summer-program-aimed-at-increasing-minority-educators.php,"May 17, 2023"
