Number,Title,URL,Date
1,"Kennesaw State institute, professor help Cherokee County address homelessness",https://www.kennesaw.edu/news/stories/2023/institute-helps-cherokee-county-homelessness.php,"September 11, 2023"
2,"Board of Regents approves new residence hall, baseball stadium renovation at Kennesaw State",https://www.kennesaw.edu/news/stories/2023/usg-approves-new-residence-hall-and-baseball-stadium-renovation.php,"September 08, 2023"
3,Kennesaw State immersive experience lab presents future-focused research opportunities,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-immersive-lab-presents-future-focused-research-opportunities.php,"September 06, 2023"
4,Record Kennesaw State football crowd reflects student-engagement success,https://www.kennesaw.edu/news/stories/2023/record-football-crowd-reflects-student-engagement-success.php,"September 01, 2023"
5,Marching Owls take advantage of transitional football season for Kennesaw State,https://www.kennesaw.edu/news/stories/2023/marching-owls-take-advantage-of-transitional-football-season.php,"August 31, 2023"
6,Renovated Kennesaw State Marietta Campus rec center reopens,https://www.kennesaw.edu/news/stories/2023/renovated-marietta-campus-rec-center-reopens.php,"August 29, 2023"
7,Kennesaw State celebrates 10th cohort of Birla Carbon scholars,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-celebrates-10th-cohort-birla-carbon-scholars.php,"August 28, 2023"
8,Kennesaw State biology professor will create research opportunities through NIH grant,https://www.kennesaw.edu/news/stories/2023/biology-professor-create-research-through-nih-grant.php,"August 24, 2023"
9,Kennesaw State names recipients of 2023 Alumni Awards,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-names-recipients-of-2023-alumni-awards.php,"August 23, 2023"
10,'Talking drum' master opens Year of Senegal with lively performance,https://www.kennesaw.edu/news/stories/2023/talking-drum-performance-opens-year-of-senegal-at-kennesaw-state.php,"August 22, 2023"
